@800 context (u1)
@1535698654904 s3 (ds7,194)
@1535698654914 s2 (ds10,156)
@1535698655061 s5 (69)
@1535698655100 s4 (54)
@1535698655166 s1 (ds1,128,128)
@1535698655167 s3 (ds9,67)
@1535698655200 s2 (ds6,54)
@1535698655351 s4 (199)
@1535698655355 s5 (132)
@1535698655388 s3 (ds6,187)
@1535698655445 s1 (ds6,161,161)
@1535698655452 s2 (ds8,51)
@1535698655619 s4 (147)
@1535698655624 s5 (142)
@1535698655684 s3 (ds5,93)
@1535698655713 s1 (ds9,149,149)
@1535698655746 s2 (ds1,125)
@1535698655875 s5 (147)
@1535698655913 s4 (196)
@1535698655943 s3 (ds7,170)
@1535698655954 s1 (ds8,122,122)
@1535698655986 s2 (ds4,177)
@1535698656120 s4 (156)
@1535698656143 s5 (186)
@1535698656188 s1 (ds4,66,66)
@1535698656201 s2 (ds8,68)
@1535698656218 s3 (ds5,131)
@1535698656397 s5 (178)
@1535698656402 s2 (ds8,96)
@1535698656413 s4 (146)
@1535698656420 s1 (ds7,137,137)
@1535698656489 s3 (ds8,91)
@1535698656632 s1 (ds5,129,129)
@1535698656645 s4 (74)
@1535698656670 s5 (168)
@1535698656677 s2 (ds2,61)
@1535698656707 s3 (ds5,102)
@1535698656882 s4 (132)
@1535698656883 s1 (ds6,129,129)
@1535698656891 s2 (ds6,84)
@1535698656925 s5 (199)
@1535698656991 s3 (ds6,85)
@1535698657104 s4 (80)
@1535698657126 s5 (54)
@1535698657145 s2 (ds5,143)
@1535698657162 s1 (ds1,136,136)
@1535698657191 s3 (ds1,79)
@1535698657316 s4 (86)
@1535698657366 s2 (ds6,154)
@1535698657403 s5 (180)
@1535698657441 s1 (ds4,160,160)
@1535698657446 s3 (ds6,184)
@1535698657542 s4 (90)
@1535698657594 s2 (ds8,139)
@1535698657641 s5 (175)
@1535698657668 s1 (ds7,190,190)
@1535698657730 s3 (ds10,176)
@1535698657750 s4 (130)
@1535698657794 s2 (ds10,110)
@1535698657913 s1 (ds4,112,112)
@1535698657925 s5 (168)
@1535698657945 s3 (ds3,195)
@1535698658017 s4 (96)
@1535698658062 s2 (ds5,143)
@1535698658186 s5 (71)
@1535698658199 s1 (ds1,157,157)
@1535698658221 s3 (ds7,101)
@1535698658257 s4 (93)
@1535698658306 s2 (ds3,81)
@1535698658403 s1 (ds1,175,175)
@1535698658459 s3 (ds5,175)
@1535698658476 s5 (183)
@1535698658521 s4 (58)
@1535698658530 s2 (ds10,98)
@1535698658634 s1 (ds4,187,187)
@1535698658705 s3 (ds1,56)
@1535698658714 s5 (190)
@1535698658754 s2 (ds7,127)
@1535698658766 s4 (155)
@1535698658893 s1 (ds1,97,97)
@1535698658915 s3 (ds4,175)
@1535698658988 s5 (159)
@1535698658994 s2 (ds3,71)
@1535698658996 s4 (58)
@1535698659098 s1 (ds7,121,121)
@1535698659192 s5 (100)
@1535698659195 s3 (ds2,81)
@1535698659221 s4 (143)
@1535698659267 s2 (ds3,50)
@1535698659347 s1 (ds6,182,182)
@1535698659453 s3 (ds7,141)
@1535698659484 s5 (56)
@1535698659501 s4 (147)
@1535698659556 s2 (ds5,154)
@1535698659604 s1 (ds8,85,85)
@1535698659701 s5 (137)
@1535698659740 s4 (153)
@1535698659751 s3 (ds8,102)
@1535698659819 s2 (ds3,117)
@1535698659843 s1 (ds1,158,158)
@1535698659978 s4 (140)
@1535698660000 s5 (143)
@1535698660011 s3 (ds8,178)
@1535698660045 s2 (ds9,169)
@1535698660125 s1 (ds5,182,182)
@1535698660236 s5 (170)
@1535698660261 s4 (142)
@1535698660276 s3 (ds9,62)
@1535698660324 s2 (ds2,166)
@1535698660374 s1 (ds7,165,165)
@1535698660506 s4 (194)
@1535698660519 s5 (169)
@1535698660524 s3 (ds2,131)
@1535698660570 s2 (ds9,168)
@1535698660620 s1 (ds10,146,146)
@1535698660735 s5 (195)
@1535698660773 s3 (ds7,179)
@1535698660774 s2 (ds9,159)
@1535698660778 s4 (195)
@1535698660872 s1 (ds7,139,139)
@1535698660990 s4 (144)
@1535698660998 s5 (93)
@1535698661026 s3 (ds5,188)
@1535698661030 s2 (ds5,122)
@1535698661145 s1 (ds7,179,179)
@1535698661215 s4 (77)
@1535698661238 s3 (ds5,181)
@1535698661265 s5 (122)
@1535698661272 s2 (ds8,133)
@1535698661375 s1 (ds7,130,130)
@1535698661463 s4 (111)
@1535698661487 s2 (ds9,128)
@1535698661508 s3 (ds10,72)
@1535698661515 s5 (77)
@1535698661619 s1 (ds1,133,133)
@1535698661683 s4 (120)
@1535698661722 s5 (153)
@1535698661724 s3 (ds1,169)
@1535698661767 s2 (ds1,112)
@1535698661825 s1 (ds10,111,111)
@1535698661947 s3 (ds7,150)
@1535698661968 s5 (141)
@1535698661971 s2 (ds6,140)
@1535698661980 s4 (158)
@1535698662025 s1 (ds1,169,169)
@1535698662184 s2 (ds7,156)
@1535698662191 s5 (88)
@1535698662199 s3 (ds10,91)
@1535698662242 s4 (69)
@1535698662309 s1 (ds8,96,96)
@1535698662433 s3 (ds9,145)
@1535698662440 s5 (154)
@1535698662448 s4 (54)
@1535698662471 s2 (ds8,166)
@1535698662537 s1 (ds7,69,69)
@1535698662647 s3 (ds9,131)
@1535698662705 s5 (82)
@1535698662705 s4 (76)
@1535698662720 s2 (ds9,146)
@1535698662752 s1 (ds1,-1,77)
@1535698662868 s3 (ds4,191)
@1535698662953 s5 (65)
@1535698662958 s2 (ds6,120)
@1535698662999 s4 (104)
@1535698663036 s1 (ds6,141,141)
@1535698663131 s3 (ds4,133)
@1535698663190 s2 (ds6,159)
@1535698663211 s4 (176)
@1535698663231 s5 (81)
@1535698663238 s1 (ds9,186,186)
@1535698663395 s3 (ds5,164)
@1535698663432 s4 (114)
@1535698663440 s2 (ds9,164)
@1535698663449 s1 (ds9,192,192)
@1535698663482 s5 (81)
@1535698663634 s3 (ds2,96)
@1535698663669 s2 (ds1,88)
@1535698663685 s4 (183)
@1535698663715 s1 (ds1,79,79)
@1535698663730 s5 (158)
@1535698663880 s3 (ds10,99)
@1535698663960 s5 (109)
@1535698663963 s4 (163)
@1535698663965 s2 (ds1,162)
@1535698663966 s1 (ds7,141,141)
@1535698664083 s3 (ds1,181)
@1535698664181 s2 (ds2,163)
@1535698664217 s5 (140)
@1535698664228 s1 (ds9,174,174)
@1535698664255 s4 (180)
@1535698664373 s3 (ds1,93)
@1535698664452 s1 (ds7,197,197)
@1535698664454 s2 (ds3,77)
@1535698664493 s5 (197)
@1535698664534 s4 (154)
@1535698664583 s3 (ds6,99)
@1535698664715 s1 (ds7,170,170)
@1535698664742 s2 (ds3,50)
@1535698664744 s5 (71)
@1535698664790 s3 (ds9,167)
@1535698664796 s4 (142)
@1535698664952 s1 (ds5,82,82)
@1535698664977 s5 (187)
@1535698665006 s4 (79)
@1535698665009 s3 (ds8,185)
@1535698665026 s2 (ds2,111)
@1535698665166 s1 (ds9,165,165)
@1535698665249 s5 (161)
@1535698665251 s4 (121)
@1535698665278 s2 (ds3,71)
@1535698665308 s3 (ds6,84)
@1535698665444 s1 (ds8,57,57)
@1535698665469 s5 (100)
@1535698665473 s4 (172)
@1535698665544 s2 (ds9,59)
@1535698665561 s3 (ds9,113)
@1535698665706 s1 (ds9,86,86)
@1535698665710 s5 (173)
@1535698665764 s4 (83)
@1535698665802 s3 (ds8,87)
@1535698665812 s2 (ds2,149)
@1535698665917 s5 (138)
@1535698666006 s1 (ds8,129,129)
@1535698666010 s4 (161)
@1535698666036 s3 (ds2,188)
@1535698666052 s2 (ds1,199)
@1535698666170 s5 (99)
@1535698666232 s4 (86)
@1535698666232 s1 (ds7,156,156)
@1535698666249 s3 (ds10,51)
@1535698666295 s2 (ds2,130)
@1535698666375 s5 (95)
@1535698666494 s1 (ds10,175,175)
@1535698666515 s4 (121)
@1535698666542 s3 (ds3,83)
@1535698666561 s2 (ds8,174)
@1535698666583 s5 (151)
@1535698666782 s4 (52)
@1535698666790 s1 (ds1,86,86)
@1535698666799 s5 (137)
@1535698666801 s3 (ds8,154)
@1535698666815 s2 (ds4,100)
@1535698666993 s1 (ds8,94,94)
@1535698667006 s4 (104)
@1535698667007 s5 (136)
@1535698667009 s3 (ds4,199)
@1535698667112 s2 (ds7,106)
@1535698667214 s1 (ds1,199,199)
@1535698667272 s4 (113)
@1535698667301 s3 (ds8,117)
@1535698667306 s5 (146)
@1535698667399 s2 (ds2,130)
@1535698667501 s1 (ds5,170,170)
@1535698667502 s4 (83)
@1535698667527 s5 (133)
@1535698667542 s3 (ds5,113)
@1535698667699 s2 (ds4,114)
@1535698667713 s1 (ds4,137,137)
@1535698667792 s3 (ds3,85)
@1535698667799 s4 (129)
@1535698667807 s5 (133)
@1535698667946 s2 (ds8,64)
@1535698667986 s1 (ds5,150,150)
@1535698667998 s3 (ds1,91)
@1535698668035 s5 (136)
@1535698668074 s4 (115)
@1535698668182 s2 (ds10,98)
@1535698668198 s1 (ds2,102,102)
@1535698668281 s3 (ds8,93)
@1535698668300 s4 (144)
@1535698668323 s5 (176)
@1535698668409 s2 (ds5,146)
@1535698668485 s1 (ds8,146,146)
@1535698668518 s3 (ds7,196)
@1535698668581 s4 (161)
@1535698668600 s5 (136)
@1535698668642 s2 (ds5,165)
@1535698668707 s1 (ds1,179,179)
@1535698668720 s3 (ds8,117)
@1535698668783 s4 (163)
@1535698668842 s5 (183)
@1535698668844 s2 (ds8,56)
@1535698668929 s3 (ds5,132)
@1535698668990 s1 (ds4,146,146)
@1535698669049 s4 (185)
@1535698669073 s2 (ds9,130)
@1535698669119 s5 (199)
@1535698669194 s3 (ds4,122)
@1535698669250 s1 (ds3,150,150)
@1535698669282 s4 (149)
@1535698669359 s2 (ds5,125)
@1535698669381 s5 (90)
@1535698669444 s3 (ds7,87)
@1535698669484 s1 (ds2,63,63)
@1535698669578 s4 (61)
@1535698669609 s5 (56)
@1535698669622 s2 (ds6,173)
@1535698669699 s3 (ds7,113)
@1535698669699 s1 (ds9,119,119)
@1535698669837 s2 (ds4,96)
@1535698669860 s5 (191)
@1535698669877 s4 (88)
@1535698669971 s3 (ds9,123)
@1535698669998 s1 (ds6,128,128)
@1535698670101 s5 (155)
@1535698670105 s2 (ds7,142)
@1535698670123 s4 (89)
@1535698670193 s3 (ds5,58)
@1535698670219 s1 (ds1,88,88)
@1535698670318 s2 (ds10,117)
@1535698670364 s5 (75)
@1535698670421 s4 (94)
@1535698670491 s3 (ds5,53)
@1535698670506 s1 (ds7,197,197)
@1535698670523 s2 (ds4,148)
@1535698670627 s4 (173)
@1535698670641 s5 (186)
@1535698670726 s1 (ds5,68,68)
@1535698670729 s2 (ds5,182)
@1535698670781 s3 (ds10,58)
@1535698670839 s4 (162)
@1535698670922 s5 (57)
@1535698670945 s1 (ds9,126,126)
@1535698670991 s3 (ds9,110)
@1535698671008 s2 (ds9,145)
@1535698671047 s4 (175)
@1535698671160 s5 (133)
@1535698671171 s1 (ds8,124,124)
@1535698671211 s3 (ds6,100)
@1535698671250 s2 (ds2,119)
@1535698671306 s4 (193)
@1535698671385 s5 (191)
@1535698671386 s1 (ds4,102,102)
@1535698671481 s3 (ds5,161)
@1535698671507 s2 (ds4,137)
@1535698671509 s4 (167)
@1535698671589 s1 (ds2,136,136)
@1535698671611 s5 (105)
@1535698671711 s4 (116)
@1535698671714 s3 (ds7,117)
@1535698671787 s2 (ds1,128)
@1535698671795 s1 (ds10,66,66)
@1535698671879 s5 (192)
@1535698671929 s3 (ds2,198)
@1535698671995 s4 (107)
@1535698671996 s1 (ds1,137,137)
@1535698672021 s2 (ds2,120)
@1535698672090 s5 (169)
@1535698672176 s3 (ds9,120)
@1535698672241 s2 (ds10,109)
@1535698672249 s4 (119)
@1535698672273 s1 (ds10,149,149)
@1535698672306 s5 (191)
@1535698672419 s3 (ds10,178)
@1535698672501 s4 (172)
@1535698672514 s2 (ds2,172)
@1535698672552 s1 (ds3,123,123)
@1535698672587 s5 (76)
@1535698672713 s3 (ds4,116)
@1535698672719 s2 (ds5,171)
@1535698672736 s4 (101)
@1535698672773 s1 (ds4,139,139)
@1535698672875 s5 (146)
@1535698672925 s3 (ds6,121)
@1535698672994 s2 (ds2,196)
@1535698673022 s4 (133)
@1535698673052 s1 (ds1,135,135)
@1535698673133 s5 (152)
@1535698673151 s3 (ds3,112)
@1535698673290 s2 (ds5,190)
@1535698673300 s1 (ds2,65,65)
@1535698673317 s4 (80)
@1535698673365 s5 (102)
@1535698673440 s3 (ds3,173)
@1535698673518 s4 (73)
@1535698673561 s2 (ds1,149)
@1535698673592 s1 (ds2,153,153)
@1535698673637 s5 (93)
@1535698673693 s3 (ds5,80)
@1535698673741 s4 (130)
@1535698673768 s2 (ds7,112)
@1535698673816 s1 (ds4,68,68)
@1535698673926 s5 (104)
@1535698673985 s3 (ds1,90)
@1535698673988 s4 (83)
@1535698674015 s2 (ds2,138)
@1535698674078 s1 (ds8,57,57)
@1535698674154 s5 (89)
@1535698674195 s4 (189)
@1535698674231 s3 (ds2,162)
@1535698674308 s2 (ds8,87)
@1535698674349 s1 (ds1,129,129)
@1535698674421 s4 (86)
@1535698674427 s5 (162)
@1535698674450 s3 (ds4,168)
@1535698674522 s2 (ds4,143)
@1535698674612 s1 (ds6,69,69)
@1535698674645 s4 (59)
@1535698674706 s5 (180)
@1535698674733 s3 (ds6,127)
@1535698674736 s2 (ds3,85)
@1535698674879 s1 (ds4,112,112)
@1535698674910 s4 (175)
@1535698674929 s5 (159)
@1535698674993 s3 (ds6,196)
@1535698675026 s2 (ds6,79)
@1535698675151 s5 (173)
@1535698675154 s1 (ds6,192,192)
@1535698675165 s4 (72)
@1535698675243 s3 (ds2,166)
@1535698675243 s2 (ds1,69)
@1535698675368 s1 (ds7,119,119)
@1535698675418 s5 (92)
@1535698675434 s4 (72)
@1535698675451 s3 (ds1,66)
@1535698675486 s2 (ds9,146)
@1535698675662 s4 (157)
@1535698675667 s1 (ds4,140,140)
@1535698675700 s5 (55)
@1535698675701 s2 (ds3,67)
@1535698675727 s3 (ds2,197)
@1535698675870 s4 (170)
@1535698675961 s1 (ds10,164,164)
@1535698675967 s3 (ds1,142)
@1535698675976 s5 (126)
@1535698675986 s2 (ds6,151)
@1535698676083 s4 (183)
@1535698676192 s3 (ds7,115)
@1535698676216 s5 (89)
@1535698676252 s1 (ds8,140,140)
@1535698676279 s2 (ds2,125)
@1535698676357 s4 (104)
@1535698676401 s3 (ds2,148)
@1535698676458 s5 (133)
@1535698676516 s1 (ds7,51,51)
@1535698676527 s2 (ds8,97)
@1535698676656 s4 (139)
@1535698676668 s5 (114)
@1535698676678 s3 (ds3,184)
@1535698676758 s2 (ds2,66)
@1535698676781 s1 (ds4,158,158)
@1535698676884 s5 (154)
@1535698676892 s4 (131)
@1535698676964 s3 (ds5,97)
@1535698677030 s2 (ds7,55)
@1535698677068 s1 (ds9,65,65)
@1535698677125 s5 (96)
@1535698677174 s4 (142)
@1535698677184 s3 (ds5,125)
@1535698677316 s2 (ds8,97)
@1535698677368 s1 (ds6,170,170)
@1535698677408 s5 (115)
@1535698677443 s3 (ds10,99)
@1535698677450 s4 (155)
@1535698677572 s1 (ds7,195,195)
@1535698677584 s2 (ds5,113)
@1535698677707 s5 (186)
@1535698677715 s3 (ds6,68)
@1535698677730 s4 (140)
@1535698677846 s2 (ds5,183)
@1535698677863 s1 (ds10,123,123)
@1535698677967 s3 (ds4,57)
@1535698677988 s5 (146)
@1535698678019 s4 (127)
@1535698678095 s1 (ds8,66,66)
@1535698678118 s2 (ds9,144)
@1535698678207 s5 (173)
@1535698678265 s3 (ds2,165)
@1535698678266 s4 (167)
@1535698678308 s1 (ds6,142,142)
@1535698678356 s2 (ds8,73)
@1535698678451 s5 (94)
@1535698678489 s4 (178)
@1535698678539 s1 (ds10,194,194)
@1535698678564 s3 (ds10,90)
@1535698678644 s2 (ds7,150)
@1535698678697 s5 (139)
@1535698678721 s4 (58)
@1535698678760 s1 (ds6,116,116)
@1535698678823 s3 (ds5,98)
@1535698678914 s2 (ds9,156)
@1535698678988 s4 (154)
@1535698678993 s5 (152)
@1535698678999 s1 (ds4,105,105)
@1535698679075 s3 (ds7,85)
@1535698679148 s2 (ds1,108)
@1535698679211 s4 (107)
@1535698679241 s1 (ds10,111,111)
@1535698679286 s5 (127)
@1535698679289 s3 (ds2,109)
@1535698679427 s2 (ds3,163)
@1535698679462 s1 (ds8,177,177)
@1535698679492 s4 (118)
@1535698679540 s5 (80)
@1535698679572 s3 (ds3,90)
@1535698679665 s1 (ds5,156,156)
@1535698679679 s2 (ds5,122)
@1535698679764 s4 (142)
@1535698679786 s3 (ds1,194)
@1535698679840 s5 (146)
@1535698679945 s1 (ds6,132,132)
@1535698679963 s2 (ds6,52)
@1535698680043 s4 (119)
@1535698680053 s5 (189)
@1535698680064 s3 (ds3,178)
@1535698680194 s1 (ds7,117,117)
@1535698680231 s2 (ds5,194)
@1535698680297 s4 (67)
@1535698680332 s5 (164)
@1535698680341 s3 (ds2,167)
@1535698680441 s1 (ds1,-1,74)
@1535698680510 s2 (ds8,91)
@1535698680561 s4 (183)
@1535698680606 s5 (134)
@1535698680616 s3 (ds2,140)
@1535698680729 s1 (ds6,182,182)
@1535698680754 s2 (ds4,59)
@1535698680842 s5 (136)
@1535698680854 s4 (148)
@1535698680900 s3 (ds5,115)
@1535698680959 s2 (ds6,109)
@1535698681027 s1 (ds1,-1,160)
@1535698681068 s5 (82)
@1535698681094 s4 (87)
@1535698681121 s3 (ds1,72)
@1535698681197 s2 (ds7,85)
@1535698681302 s1 (ds2,69,69)
@1535698681356 s5 (181)
@1535698681360 s4 (142)
@1535698681397 s3 (ds2,74)
@1535698681439 s2 (ds6,135)
@1535698681546 s1 (ds8,159,159)
@1535698681598 s5 (150)
@1535698681606 s4 (179)
@1535698681609 s3 (ds8,50)
@1535698681730 s2 (ds9,153)
@1535698681809 s5 (141)
@1535698681826 s4 (166)
@1535698681838 s1 (ds3,117,117)
@1535698681846 s3 (ds6,196)
@1535698681976 s2 (ds3,133)
@1535698682018 s5 (60)
@1535698682052 s4 (194)
@1535698682059 s3 (ds5,126)
@1535698682070 s1 (ds7,171,171)
@1535698682216 s2 (ds6,117)
@1535698682269 s4 (181)
@1535698682277 s5 (87)
@1535698682304 s3 (ds7,154)
@1535698682336 s1 (ds5,75,75)
@1535698682460 s2 (ds10,189)
@1535698682494 s4 (136)
@1535698682515 s3 (ds2,117)
@1535698682567 s1 (ds10,181,181)
@1535698682569 s5 (68)
@1535698682738 s2 (ds10,168)
@1535698682742 s4 (108)
@1535698682767 s3 (ds6,72)
@1535698682773 s1 (ds10,148,148)
@1535698682826 s5 (183)
@1535698682939 s2 (ds5,67)
@1535698683008 s4 (76)
@1535698683034 s3 (ds10,135)
@1535698683045 s1 (ds4,64,64)
@1535698683067 s5 (109)
@1535698683166 s2 (ds6,85)
@1535698683244 s4 (157)
@1535698683292 s5 (116)
@1535698683334 s3 (ds9,63)
@1535698683334 s1 (ds3,95,95)
@1535698683431 s2 (ds6,122)
@1535698683462 s4 (106)
@1535698683549 s3 (ds6,90)
@1535698683581 s5 (86)
@1535698683630 s1 (ds5,63,63)
@1535698683708 s2 (ds7,151)
@1535698683752 s4 (105)
@1535698683836 s3 (ds7,87)
@1535698683877 s5 (77)
@1535698683894 s1 (ds1,116,116)
@1535698683951 s2 (ds4,89)
@1535698683958 s4 (69)
@1535698684079 s5 (99)
@1535698684120 s1 (ds2,-1,60)
@1535698684128 s3 (ds6,177)
@1535698684176 s2 (ds4,63)
@1535698684199 s4 (147)
@1535698684345 s5 (146)
@1535698684380 s1 (ds7,183,183)
@1535698684410 s3 (ds2,138)
@1535698684410 s2 (ds3,128)
@1535698684417 s4 (85)
@1535698684608 s1 (ds9,156,156)
@1535698684612 s3 (ds4,97)
@1535698684641 s5 (115)
@1535698684662 s2 (ds5,147)
@1535698684664 s4 (113)
@1535698684844 s5 (91)
@1535698684866 s3 (ds2,106)
@1535698684873 s1 (ds10,83,83)
@1535698684939 s4 (157)
@1535698684953 s2 (ds8,71)
@1535698685096 s5 (78)
@1535698685156 s4 (81)
@1535698685158 s3 (ds10,156)
@1535698685166 s1 (ds2,-1,105)
@1535698685251 s2 (ds9,108)
@1535698685373 s4 (60)
@1535698685375 s3 (ds8,139)
@1535698685387 s5 (140)
@1535698685442 s1 (ds6,140,140)
@1535698685534 s2 (ds10,74)
@1535698685629 s4 (66)
@1535698685646 s5 (134)
@1535698685669 s3 (ds8,66)
@1535698685672 s1 (ds10,62,62)
@1535698685759 s2 (ds6,78)
@1535698685909 s1 (ds5,119,119)
@1535698685913 s5 (68)
@1535698685916 s4 (150)
@1535698685964 s3 (ds10,100)
@1535698685981 s2 (ds2,180)
@1535698686131 s4 (68)
@1535698686160 s5 (81)
@1535698686186 s1 (ds2,-1,128)
@1535698686230 s2 (ds4,166)
@1535698686259 s3 (ds10,151)
@1535698686383 s4 (122)
@1535698686428 s5 (118)
@1535698686472 s1 (ds9,126,126)
@1535698686512 s2 (ds1,107)
@1535698686549 s3 (ds10,108)
@1535698686585 s4 (84)
@1535698686645 s5 (52)
@1535698686675 s1 (ds5,132,132)
@1535698686756 s2 (ds9,195)
@1535698686784 s3 (ds10,186)
@1535698686838 s4 (75)
@1535698686855 s5 (53)
@1535698686939 s1 (ds1,168,168)
@1535698686986 s3 (ds4,57)
@1535698687040 s2 (ds5,189)
@1535698687046 s4 (187)
@1535698687154 s5 (190)
@1535698687238 s1 (ds4,64,64)
@1535698687248 s2 (ds6,100)
@1535698687266 s3 (ds10,171)
@1535698687267 s4 (97)
@1535698687418 s5 (116)
@1535698687478 s1 (ds2,93,93)
@1535698687509 s3 (ds6,145)
@1535698687513 s4 (57)
@1535698687526 s2 (ds10,197)
@1535698687620 s5 (68)
@1535698687730 s4 (137)
@1535698687764 s1 (ds6,189,189)
@1535698687792 s2 (ds10,55)
@1535698687798 s3 (ds4,109)
@1535698687889 s5 (116)
@1535698687990 s4 (127)
@1535698687995 s2 (ds4,74)
@1535698688009 s3 (ds1,102)
@1535698688040 s1 (ds2,-1,145)
@1535698688092 s5 (136)
@1535698688234 s3 (ds8,137)
@1535698688246 s2 (ds3,138)
@1535698688285 s4 (191)
@1535698688297 s1 (ds8,86,86)
@1535698688354 s5 (169)
@1535698688492 s3 (ds8,77)
@1535698688496 s2 (ds2,158)
@1535698688517 s1 (ds1,91,91)
@1535698688543 s4 (157)
@1535698688619 s5 (136)
@1535698688704 s3 (ds6,56)
@1535698688728 s1 (ds8,50,50)
@1535698688770 s2 (ds4,109)
@1535698688780 s4 (197)
@1535698688891 s5 (58)
@1535698688949 s3 (ds9,168)
@1535698688991 s2 (ds6,128)
@1535698688996 s1 (ds2,136,136)
@1535698689059 s4 (64)
@1535698689168 s5 (112)
@1535698689168 s3 (ds2,149)
@1535698689276 s2 (ds6,63)
@1535698689284 s4 (171)
@1535698689289 s1 (ds6,141,141)
@1535698689418 s3 (ds8,132)
@1535698689466 s5 (92)
@1535698689497 s4 (57)
@1535698689552 s1 (ds4,177,177)
@1535698689561 s2 (ds8,116)
@1535698689684 s3 (ds2,179)
@1535698689758 s5 (172)
@1535698689789 s4 (190)
@1535698689815 s1 (ds8,108,108)
@1535698689838 s2 (ds1,197)
@1535698689969 s3 (ds6,147)
@1535698689999 s5 (50)
@1535698690046 s1 (ds2,76,76)
@1535698690079 s4 (106)
@1535698690120 s2 (ds7,151)
@1535698690210 s3 (ds10,170)
@1535698690244 s5 (105)
@1535698690281 s1 (ds3,154,154)
@1535698690319 s4 (61)
@1535698690399 s2 (ds1,112)
@1535698690463 s5 (158)
@1535698690486 s3 (ds1,73)
@1535698690551 s4 (121)
@1535698690574 s1 (ds10,165,165)
@1535698690626 s2 (ds10,78)
@1535698690720 s3 (ds2,162)
@1535698690723 s5 (159)
@1535698690788 s1 (ds9,106,106)
@1535698690812 s4 (165)
@1535698690841 s2 (ds10,131)
@1535698690975 s5 (186)
@1535698690975 s3 (ds10,189)
@1535698691040 s1 (ds2,119,119)
@1535698691082 s4 (57)
@1535698691090 s2 (ds10,130)
@1535698691176 s5 (190)
@1535698691223 s3 (ds3,106)
@1535698691300 s1 (ds7,55,55)
@1535698691329 s4 (99)
@1535698691342 s2 (ds8,182)
@1535698691434 s3 (ds2,113)
@1535698691440 s5 (183)
@1535698691527 s1 (ds4,108,108)
@1535698691602 s4 (105)
@1535698691626 s2 (ds8,191)
@1535698691647 s3 (ds8,161)
@1535698691676 s5 (172)
@1535698691760 s1 (ds8,168,168)
@1535698691871 s4 (183)
@1535698691879 s2 (ds8,52)
@1535698691886 s3 (ds10,107)
@1535698691930 s5 (102)
@1535698691979 s1 (ds10,151,151)
@1535698692107 s3 (ds10,60)
@1535698692121 s4 (115)
@1535698692149 s2 (ds3,93)
@1535698692212 s5 (82)
@1535698692235 s1 (ds6,151,151)
@1535698692360 s4 (173)
@1535698692363 s3 (ds6,130)
@1535698692445 s2 (ds8,146)
@1535698692504 s5 (82)
@1535698692533 s1 (ds5,118,118)
@1535698692640 s4 (94)
@1535698692644 s3 (ds9,80)
@1535698692709 s2 (ds2,110)
@1535698692716 s5 (73)
@1535698692767 s1 (ds6,149,149)
@1535698692857 s3 (ds9,126)
@1535698692916 s4 (152)
@1535698692944 s2 (ds5,56)
@1535698692979 s5 (199)
@1535698693038 s1 (ds8,130,130)
@1535698693110 s3 (ds2,72)
@1535698693146 s4 (57)
@1535698693223 s2 (ds5,151)
@1535698693224 s5 (146)
@1535698693305 s1 (ds7,90,90)
@1535698693404 s3 (ds7,176)
@1535698693405 s4 (79)
@1535698693482 s2 (ds2,91)
@1535698693492 s5 (192)
@1535698693567 s1 (ds4,183,183)
@1535698693613 s3 (ds3,119)
@1535698693679 s4 (112)
@1535698693696 s2 (ds6,197)
@1535698693731 s5 (105)
@1535698693784 s1 (ds10,82,82)
@1535698693860 s3 (ds9,135)
@1535698693880 s4 (80)
@1535698693965 s2 (ds6,135)
@1535698694003 s5 (74)
@1535698694071 s1 (ds5,79,79)
@1535698694149 s3 (ds10,114)
@1535698694161 s4 (133)
@1535698694237 s2 (ds5,83)
@1535698694277 s5 (192)
@1535698694335 s1 (ds1,175,175)
@1535698694377 s3 (ds9,132)
@1535698694414 s4 (166)
@1535698694446 s2 (ds6,122)
@1535698694499 s5 (56)
@1535698694614 s1 (ds3,92,92)
@1535698694647 s3 (ds6,128)
@1535698694706 s2 (ds7,54)
@1535698694708 s4 (167)
@1535698694767 s5 (187)
@1535698694847 s1 (ds4,177,177)
@1535698694886 s3 (ds8,93)
@1535698694942 s4 (147)
@1535698694956 s2 (ds5,144)
@1535698695046 s5 (144)
@1535698695067 s1 (ds2,62,62)
@1535698695118 s3 (ds7,175)
@1535698695181 s4 (58)
@1535698695184 s2 (ds4,86)
@1535698695285 s5 (165)
@1535698695285 s1 (ds9,132,132)
@1535698695389 s4 (136)
@1535698695408 s2 (ds2,152)
@1535698695411 s3 (ds7,82)
@1535698695517 s1 (ds10,156,156)
@1535698695534 s5 (161)
@1535698695650 s4 (145)
@1535698695658 s2 (ds8,179)
@1535698695699 s3 (ds6,84)
@1535698695727 s1 (ds5,141,141)
@1535698695799 s5 (168)
@1535698695886 s4 (171)
@1535698695942 s3 (ds3,160)
@1535698695945 s1 (ds6,183,183)
@1535698695957 s2 (ds5,145)
@1535698696003 s5 (73)
@1535698696101 s4 (107)
@1535698696159 s3 (ds1,171)
@1535698696212 s2 (ds10,148)
@1535698696230 s1 (ds3,148,148)
@1535698696239 s5 (77)
@1535698696398 s4 (132)
@1535698696435 s2 (ds1,116)
@1535698696444 s3 (ds7,179)
@1535698696495 s1 (ds3,120,120)
@1535698696523 s5 (70)
@1535698696608 s4 (76)
